feature,importance
"defense_personnel_3 CB, 1 DE, 2 ILB, 1 NT, 2 OLB, 2 SS",0.0003584067949470511
"offense_personnel_6 OL, 2 RB, 2 TE, 0 WR",0.000355974947315561
"defense_personnel_2 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 2 OLB, 2 SS",0.00035224527352437524
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 2 MLB, 1 SS",0.0003508378317091544
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 1 OLB, 1 SS",0.00034805826811213476
"offense_personnel_2 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",0.0003472127573944426
"defense_personnel_4 CB, 2 DE, 2 DT, 1 FS, 1 OLB, 1 SS",0.0003417770627149263
"defense_personnel_4 CB, 2 DE, 1 DT, 1 FS, 1 MLB, 1 OLB, 1 SS",0.0003411813934148556
"defense_personnel_6 DL, 4 LB, 1 DB",0.0003337673472914175
"defense_personnel_4 CB, 1 DE, 1 DT, 2 FS, 1 ILB, 2 OLB",0.000319543345367777
"defense_personnel_3 CB, 1 FS, 1 ILB, 4 OLB, 2 SS",0.00031932519714780884
"defense_personnel_3 DL, 5 LB, 3 DB",0.00030349436898486867
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 2 MLB, 2 NT, 1 OLB, 1 SS",0.00030345740637650605
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 2 ILB, 1 OLB",0.0002992309293935651
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR",0.00029285606244998857
"defense_personnel_2 CB, 2 DE, 2 FS, 2 ILB, 1 NT, 2 OLB",0.0002870166599205417
"defense_personnel_4 CB, 2 DT, 1 ILB, 2 OLB, 2 SS",0.00028174495604307376
"offense_personnel_2 RB, 0 TE, 3 WR",0.0002780958767314517
"defense_personnel_3 CB, 3 DE, 1 DT, 2 ILB, 2 SS",0.00027533699534379463
"offense_personnel_1 C, 1 FB, 3 G, 1 QB, 1 T, 1 TE, 3 WR",0.0002743841306425576
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 3 OLB, 1 SS",0.0002725920230101413
"defense_personnel_3 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 1 SS",0.0002716939418392598
"defense_personnel_3 CB, 2 FS, 1 ILB, 3 OLB, 2 SS",0.0002705625989996459
"defense_personnel_3 CB, 1 DE, 2 FS, 2 ILB, 2 NT, 1 OLB",0.00026733519604021217
"offense_personnel_1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",0.0002629526518112361
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 1 ILB, 1 OLB, 1 SS",0.00026053840237290544
"defense_personnel_2 DL, 5 LB, 4 DB",0.0002545572844452498
"defense_personnel_2 DL, 2 LB, 7 DB",0.0002494573510767751
"offense_personnel_2 RB, 3 TE, 0 WR",0.00024724265267830404
"defense_personnel_3 CB, 2 DE, 2 DT, 2 ILB, 2 SS",0.000242983147395926
"offense_personnel_1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",0.00024269223510852217
"defense_personnel_2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS",0.0002417398449043207
"offense_personnel_1 C, 1 FB, 3 G, 1 QB, 1 RB, 1 T, 1 TE, 2 WR",0.00023979500021288028
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 3 T, 1 TE, 2 WR",0.00023349255992379035
"defense_personnel_3 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 2 OLB, 1 SS",0.0002315118808931906
"defense_personnel_3 CB, 3 DE, 1 DT, 1 FS, 2 MLB, 1 SS",0.00022772435534721303
"defense_personnel_3 CB, 1 DE, 2 FS, 3 ILB, 1 NT, 1 OLB",0.00022661258863714503
"defense_personnel_3 CB, 2 DT, 1 FS, 2 ILB, 2 OLB, 1 SS",0.00022462075955968875
"offense_personnel_1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",0.00022258409529253467
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 1 MLB, 1 OLB, 1 SS",0.00022122708917619112
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 3 ILB",0.00021639271216162496
"offense_personnel_1 C, 2 G, 1 QB, 2 RB, 2 T, 1 TE, 2 WR",0.0002163773769983918
"defense_personnel_3 CB, 2 DE, 3 DT, 1 FS, 1 OLB, 1 SS",0.00021529018680232568
"defense_personnel_3 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 1 SS",0.00021481293221444666
"offense_personnel_1 FB, 3 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",0.00021317093824467032
"defense_personnel_4 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 2 OLB, 1 SS",0.0002116451554731815
"defense_personnel_3 CB, 1 DE, 2 DT, 2 FS, 2 ILB, 1 OLB",0.00021041947779431406
"defense_personnel_4 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 OLB, 1 SS",0.00020999867592576583
"defense_personnel_3 CB, 1 DE, 1 DT, 2 ILB, 2 OLB, 2 SS",0.00020816420680790746
"offense_personnel_1 C, 3 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",0.00020787053082443226
"offense_personnel_1 C, 3 G, 1 QB, 1 RB, 1 T, 2 TE, 2 WR",0.00020137888458939378
"defense_personnel_4 CB, 2 DT, 1 FS, 2 ILB, 2 OLB",0.0002000564978081018
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 2 ILB, 1 SS",0.00019943905911751626
"defense_personnel_2 CB, 2 DE, 2 DT, 2 ILB, 3 SS",0.00019901112424198098
"defense_personnel_3 CB, 1 DE, 2 DT, 2 FS, 1 ILB, 1 OLB, 1 SS",0.00019892086227694548
"defense_personnel_2 CB, 2 DE, 2 DT, 3 FS, 2 ILB",0.00019889991701371135
"defense_personnel_3 CB, 3 DE, 1 DT, 2 FS, 1 ILB, 1 SS",0.00018793297791653763
"defense_personnel_3 CB, 2 DE, 2 DT, 2 FS, 2 MLB",0.0001865602605558105
"defense_personnel_3 CB, 3 DE, 1 DT, 1 FS, 2 ILB, 1 SS",0.00018645925393151428
"defense_personnel_3 CB, 3 DE, 1 DT, 1 FS, 1 ILB, 1 OLB, 1 SS",0.00018624154575559072
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 2 OLB, 1 SS",0.00018330205929100216
"defense_personnel_2 CB, 3 DE, 2 DT, 1 FS, 2 ILB, 1 SS",0.00018315001614125127
"defense_personnel_6 DL, 3 LB, 2 DB",0.00018138807941798344
"defense_personnel_2 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 2 OLB, 1 SS",0.0001778343415145786
"defense_personnel_4 CB, 1 DE, 2 DT, 1 FS, 2 ILB, 1 OLB",0.0001719455871063537
"defense_personnel_3 CB, 1 DT, 1 FS, 1 ILB, 1 NT, 3 OLB, 1 SS",0.00017120960847325333
"defense_personnel_3 CB, 2 DT, 1 FS, 2 MLB, 1 NT, 1 OLB, 1 SS",0.00017031418941189727
"defense_personnel_3 CB, 1 DE, 3 DT, 1 FS, 1 ILB, 2 OLB",0.00016956565279924009
"defense_personnel_2 CB, 1 DE, 1 DT, 2 FS, 1 ILB, 1 NT, 2 OLB, 1 SS",0.00016922580200310017
"offense_personnel_1 C, 2 G, 1 QB, 2 RB, 2 T, 2 TE, 1 WR",0.00016700373314758963
"defense_personnel_2 CB, 1 DE, 2 DT, 1 FS, 1 ILB, 2 OLB, 2 SS",0.00016578821467418248
"defense_personnel_2 CB, 1 DE, 1 DT, 2 FS, 1 ILB, 1 NT, 3 OLB",0.00016565621674281367
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 2 OLB, 2 SS",0.00016449489627561436
"defense_personnel_2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS",0.00016442232787292093
"defense_personnel_2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS",0.0001634105561373684
"offense_personnel_2 C, 1 FB, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",0.00016116810449030635
"offense_personnel_7 OL, 1 RB, 1 TE, 1 WR",0.00015957914847654117
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 1 ILB, 1 NT, 2 OLB, 1 SS",0.0001584798900180951
"offense_personnel_1 RB, 4 TE, 0 WR",0.0001581438720339869
"defense_personnel_2 CB, 2 DE, 1 FS, 2 MLB, 1 NT, 2 OLB, 1 SS",0.00015797152794927422
"defense_personnel_2 CB, 1 DT, 2 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",0.00015460173120396934
"defense_personnel_1 DL, 3 LB, 7 DB",0.00015324255325478025
"defense_personnel_3 CB, 1 DE, 2 DT, 3 FS, 1 OLB, 1 SS",0.00015296784888025103
"offense_personnel_2 C, 2 G, 1 QB, 1 RB, 1 T, 1 TE, 3 WR",0.00015223642588019627
"offense_personnel_1 C, 2 G, 2 QB, 1 RB, 2 T, 3 WR",0.0001512422117947482
"offense_personnel_1 C, 2 G, 1 QB, 1 RB, 2 T, 4 WR",0.0001511393474308395
"defense_personnel_0 DL, 5 LB, 6 DB",0.00014880283675108968
"defense_personnel_2 CB, 2 DE, 1 DT, 2 ILB, 2 OLB, 2 SS",0.00014857627982658238
"defense_personnel_2 CB, 2 DE, 2 ILB, 1 NT, 2 OLB, 2 SS",0.00014813722887206492
"offense_personnel_1 C, 2 G, 1 QB, 2 T, 2 TE, 3 WR",0.00014701349112779228
"defense_personnel_3 DL, 1 LB, 7 DB",0.00014442451829681764
"defense_personnel_2 CB, 2 DE, 2 DT, 1 FS, 1 ILB, 2 OLB, 1 SS",0.00014406214618157504
"defense_personnel_3 CB, 2 DE, 2 ILB, 2 OLB, 2 SS",0.00014219955991102962
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 1 ILB, 1 OLB, 1 SS",0.000141756702433536
"defense_personnel_3 CB, 3 DE, 1 DT, 1 FS, 1 MLB, 1 OLB, 1 SS",0.00014174399467983118
"defense_personnel_3 CB, 2 DE, 1 DT, 2 ILB, 1 OLB, 2 SS",0.00014135010232893877
"offense_personnel_1 C, 3 G, 2 QB, 1 RB, 1 T, 3 WR",0.00014011670275114354
"defense_personnel_2 CB, 2 DT, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",0.00013990152529419738
"defense_personnel_4 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 1 SS",0.0001390540919029527
"offense_personnel_1 C, 1 G, 1 QB, 3 T, 1 TE, 4 WR",0.00013827134572339143
"defense_personnel_3 CB, 2 DE, 1 FS, 1 ILB, 3 OLB, 1 SS",0.0001371456341778544
"defense_personnel_2 CB, 1 DE, 2 DT, 1 FS, 2 ILB, 2 OLB, 1 SS",0.00013558908886251514
"defense_personnel_3 CB, 4 DE, 1 FS, 1 ILB, 1 OLB, 1 SS",0.00013515765676051596
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 1 MLB, 2 NT, 1 OLB, 1 SS",0.00013393295775517537
"defense_personnel_2 CB, 2 DE, 3 DT, 2 ILB, 2 SS",0.00013079771714454507
"defense_personnel_3 CB, 1 FS, 2 ILB, 4 OLB, 1 SS",0.00012829404279712632
"defense_personnel_3 CB, 2 DT, 2 FS, 2 ILB, 2 OLB",0.00012793060828762898
"defense_personnel_3 CB, 1 DE, 3 DT, 1 FS, 2 OLB, 1 SS",0.00012735611817431654
"offense_personnel_0 RB, 0 TE, 5 WR",0.0001260210762904131
"defense_personnel_3 CB, 1 DE, 2 DT, 3 FS, 1 ILB, 1 OLB",0.0001259833465261796
"offense_personnel_6 OL, 2 RB, 0 TE, 2 WR",0.00012540044637353906
"offense_personnel_3 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",0.00012496410387077413
"defense_personnel_1 CB, 1 DT, 2 FS, 2 ILB, 1 NT, 2 OLB, 2 SS",0.00012360182969708186
"defense_personnel_3 CB, 2 DT, 2 ILB, 2 OLB, 2 SS",0.00012088547788319223
"defense_personnel_3 CB, 3 DE, 1 DT, 2 FS, 2 OLB",0.00012038743843975424
"defense_personnel_3 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 1 OLB, 2 SS",0.00012024314478158793
"offense_personnel_1 C, 2 G, 2 QB, 1 RB, 3 T, 2 WR",0.00011981077505384979
"defense_personnel_3 CB, 2 DT, 3 FS, 1 ILB, 2 OLB",0.00011856670337982302
"defense_personnel_1 CB, 2 DE, 2 DT, 2 FS, 3 ILB, 1 SS",0.00011837832730480401
"defense_personnel_2 CB, 1 DT, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS",0.0001176941187620735
"defense_personnel_3 CB, 4 DE, 2 FS, 1 OLB, 1 SS",0.00011685494541169201
"offense_personnel_1 C, 1 G, 2 QB, 1 RB, 3 T, 3 WR",0.00011667380621091045
"defense_personnel_3 CB, 1 DT, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS",0.00011601569481712714
"defense_personnel_3 CB, 2 DE, 1 DT, 2 MLB, 3 SS",0.00011600917902093194
"defense_personnel_3 CB, 1 DE, 1 FS, 2 ILB, 2 OLB, 2 SS",0.00011376773409619144
"defense_personnel_3 CB, 2 DE, 1 DT, 2 FS, 1 ILB, 1 OLB, 1 SS",0.00011184793279509316
"defense_personnel_3 CB, 2 DE, 3 DT, 1 FS, 1 MLB, 1 SS",0.00011017956139884164
"defense_personnel_2 CB, 2 DE, 2 DT, 1 FS, 1 ILB, 1 NT, 1 OLB, 1 SS",0.00010932256009054703
"defense_personnel_1 CB, 1 DE, 1 DT, 2 FS, 2 ILB, 2 OLB, 2 SS",0.0001089358158196618
"offense_personnel_1 C, 2 G, 1 QB, 2 T, 1 TE, 4 WR",0.00010883523915326177
"offense_personnel_1 C, 3 G, 1 QB, 1 RB, 2 T, 3 WR",0.00010507936396892931
"defense_personnel_4 CB, 1 DE, 1 DT, 1 FS, 1 MLB, 2 OLB, 1 SS",0.00010472396248367152
"defense_personnel_3 CB, 3 DE, 1 DT, 1 FS, 1 ILB, 2 SS",0.00010460819271655907
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",0.00010413519893668236
"defense_personnel_2 CB, 2 DE, 2 DT, 2 FS, 2 OLB, 1 SS",0.00010377111904056276
"defense_personnel_3 CB, 2 DE, 2 FS, 2 ILB, 2 OLB",0.00010347362427714253
"offense_personnel_2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",0.00010247673034533193
"defense_personnel_3 CB, 1 FS, 2 ILB, 2 NT, 2 OLB, 1 SS",0.00010162061407243574
"defense_personnel_2 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 1 OLB, 2 SS",0.00010157143277994558
"defense_personnel_3 CB, 1 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS",0.00010077499287609843
"defense_personnel_5 DL, 3 LB, 3 DB",0.00010053159630916672
"defense_personnel_3 CB, 1 DE, 1 FS, 2 ILB, 3 OLB, 1 SS",9.951444711803942e-05
"defense_personnel_0 DL, 4 LB, 7 DB",9.885447092117044e-05
"offense_personnel_6 OL, 1 RB, 0 TE, 3 WR",9.849047453650638e-05
"offense_personnel_6 OL, 1 RB, 3 TE, 0 WR",9.736002211075099e-05
"defense_personnel_3 CB, 2 DE, 2 DT, 1 FS, 3 ILB",9.732440553408309e-05
"defense_personnel_4 CB, 1 DT, 1 ILB, 1 NT, 2 OLB, 2 SS",9.691515800876108e-05
"defense_personnel_3 CB, 1 DE, 1 FS, 1 ILB, 3 OLB, 2 SS",9.679808811951038e-05
"defense_personnel_3 CB, 3 DE, 2 DT, 1 FS, 1 OLB, 1 SS",9.652692762134281e-05
"defense_personnel_1 CB, 1 DE, 1 DT, 2 FS, 2 ILB, 1 NT, 2 OLB, 1 SS",9.509207079407999e-05
"defense_personnel_4 DL, 5 LB, 2 DB",9.488341318566578e-05
"defense_personnel_3 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 2 OLB",9.411431323724281e-05
"defense_personnel_3 CB, 2 DE, 3 DT, 1 FS, 1 ILB, 1 SS",9.405374030098625e-05
"defense_personnel_1 CB, 2 DT, 2 FS, 2 ILB, 2 OLB, 2 SS",9.394740484834755e-05
"offense_personnel_1 C, 1 FB, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 2 WR",9.308042238140069e-05
"defense_personnel_2 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 2 SS",9.139154167417007e-05
"offense_personnel_2 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",9.107299204669295e-05
"defense_personnel_3 CB, 3 DE, 1 FS, 2 ILB, 1 OLB, 1 SS",9.027695700876655e-05
"defense_personnel_3 CB, 1 DE, 2 FS, 2 ILB, 1 NT, 2 OLB",8.981287205982409e-05
"defense_personnel_2 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 1 OLB, 2 SS",8.981039819998822e-05
"defense_personnel_2 CB, 1 DE, 2 DT, 2 FS, 2 ILB, 1 OLB, 1 SS",8.942342139196693e-05
"defense_personnel_2 CB, 2 DE, 1 FS, 3 ILB, 1 NT, 1 OLB, 1 SS",8.919575000908738e-05
"defense_personnel_4 CB, 1 DE, 2 FS, 1 ILB, 3 OLB",8.905936909881538e-05
"defense_personnel_3 CB, 2 DE, 1 DT, 1 FS, 1 MLB, 1 OLB, 2 SS",8.703958986904463e-05
"defense_personnel_1 CB, 1 DE, 1 DT, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS",8.702853388486566e-05
"defense_personnel_2 CB, 1 DE, 3 FS, 1 ILB, 1 NT, 2 OLB, 1 SS",8.683183811031294e-05
"defense_personnel_3 CB, 2 DE, 1 DT, 2 FS, 2 OLB, 1 SS",8.610116035339503e-05
"defense_personnel_3 CB, 1 DT, 2 FS, 1 ILB, 1 NT, 2 OLB, 1 SS",8.60795323922491e-05
"defense_personnel_4 CB, 2 DE, 1 FS, 1 ILB, 2 OLB, 1 SS",8.585278568084032e-05
"defense_personnel_3 CB, 2 DE, 2 FS, 3 ILB, 1 OLB",8.55183009959467e-05
"defense_personnel_2 CB, 1 DE, 2 DT, 3 FS, 1 ILB, 1 OLB, 1 SS",8.304057118638266e-05
"defense_personnel_3 CB, 3 DE, 1 DT, 1 ILB, 2 OLB, 1 SS",8.287413297982974e-05
